2016-5-18
    1: 32 cores, 1+27+1+1, 8 FPS
    2: 8 cores, 1+3+1+1, 1 FPS
    3: 16 cores, 1+11+1+1, 7 FPS
    4: 16 cores, 1+11+1+1, 7 FPS
    5: 16 cores, 1+11+1+1, 6 FPS
    6: 16 cores, 1+13+1+1, 6 FPS
    7: 16 cores, 1+15+1+1, 6 FPS
2016-5-19
    1: 16 cores, 1+17+1+1, 6 FPS
    2: 16 cores, 1+19+1+1, 6 FPS
    3: 16 cores, 1+21+1+1, 6 FPS
    4: 16 cores, 1+23+1+1, 6 FPS
    5: 16 cores, 1+25+1+1, 6 FPS
    6: 16 cores, 1+27+1+1, 6 FPS
    7: 16 cores, 1+29+1+1, 6 FPS
    8: 16 cores, 1+31+1+1, 6 FPS
    9: 16 cores, 1+32+1+1, 6 FPS
    10: 16 cores, 1+33+1+1, 6 FPS
    11: 16 cores, 1+35+1+1, 6 FPS
    12: 16 cores, 1+37+1+1, 6 FPS
    13: 16 cores, 1+43+1+1, 6 FPS
    14: 32 cores, 1+27+1+1, 8 FPS
    15: 32 cores, 1+27+1+1, 9 FPS
    16: 32 cores, 1+27+1+1, 10 FPS

    17: 32 cores, 1+27+1+1, 8 FPS
    18: 32 cores, 1+29+1+1, 8 FPS
    19: 32 cores, 1+30+1+1, 8 FPS

    20: 32 cores, 1+25+1+1, 8 FPS
    21: 32 cores, 1+23+1+1, 8 FPS
    22: 32 cores, 1+21+1+1, 8 FPS

    23: 32 cores, 1+31+1+1, 8 FPS
    24: 32 cores, 1+32+1+1, 8 FPS
    25: 32 cores, 1+33+1+1, 8 FPS
    26: 32 cores, 1+35+1+1, 8 FPS
    27: 32 cores, 1+39+1+1, 8 FPS
    28: 32 cores, 1+43+1+1, 8 FPS

2016-5-23
    1: 8 cores, 1+3+1, 1 FPS [FG]
    2: 8 cores, 1+5+1, 1 FPS
    3: 8 cores, 1+7+1, 1 FPS
    4: 8 cores, 1+9+1, 1 FPS
    5: 8 cores, 1+11+1, 1 FPS
    6: 8 cores, 1+13+1, 1 FPS

    7: 8 cores, 1+3+1, 2 FPS
    8: 8 cores, 1+5+1, 2 FPS [FG]
    9: 8 cores, 1+7+1, 2 FPS
    10: 8 cores, 1+9+1, 2 FPS
    11: 8 cores, 1+11+1, 2 FPS
    12: 8 cores, 1+13+1, 2 FPS

    13: 8 cores, 1+3+1, 3 FPS 
    14: 8 cores, 1+5+1, 3 FPS
    15: 8 cores, 1+7+1, 3 FPS [FG]
    16: 8 cores, 1+9+1, 3 FPS
    17: 8 cores, 1+11+1, 3 FPS
    18: 8 cores, 1+13+1, 3 FPS

    19: 8 cores, 1+3+1, 4 FPS
    20: 8 cores, 1+5+1, 4 FPS
    21: 8 cores, 1+7+1, 4 FPS
    22: 8 cores, 1+9+1, 4 FPS
    23: 8 cores, 1+11+1, 4 FPS
    24: 8 cores, 1+13+1, 4 FPS

    25: 16 cores, 1+27+1, 6 FPS [FG]
    26: 16 cores, 1+28+1, 6 FPS
    27: 16 cores, 1+29+1, 6 FPS
    28: 16 cores, 1+30+1, 6 FPS
    29: 16 cores, 1+31+1, 6 FPS
    30: 16 cores, 1+32+1, 6 FPS

    31: 16 cores, 1+27+1, 7 FPS [FG]
    32: 16 cores, 1+28+1, 7 FPS
    33: 16 cores, 1+29+1, 7 FPS
    34: 16 cores, 1+30+1, 7 FPS
    35: 16 cores, 1+31+1, 7 FPS
    36: 16 cores, 1+32+1, 7 FPS

    37: 16 cores, 1+27+1, 8 FPS [Some]
    38: 16 cores, 1+28+1, 8 FPS
    39: 16 cores, 1+29+1, 8 FPS
    40: 16 cores, 1+30+1, 8 FPS
    41: 16 cores, 1+31+1, 8 FPS
    42: 16 cores, 1+32+1, 8 FPS

    43: 16 cores, 1+27+1, 9 FPS
    44: 16 cores, 1+28+1, 9 FPS
    45: 16 cores, 1+29+1, 9 FPS
    46: 16 cores, 1+30+1, 9 FPS
    47: 16 cores, 1+31+1, 9 FPS
    48: 16 cores, 1+32+1, 9 FPS

2016-5-24
    1: 32 cores, 1+27+1, 8 FPS [FG]
    2: 32 cores, 1+28+1, 8 FPS
    3: 32 cores, 1+29+1, 8 FPS
    4: 32 cores, 1+30+1, 8 FPS
    5: 32 cores, 1+31+1, 8 FPS
    6: 32 cores, 1+32+1, 8 FPS

    7: 32 cores, 1+27+1, 9 FPS [Some]
    8: 32 cores, 1+28+1, 9 FPS
    9: 32 cores, 1+29+1, 9 FPS
    10: 32 cores, 1+30+1, 9 FPS
    11: 32 cores, 1+31+1, 9 FPS
    12: 32 cores, 1+32+1, 9 FPS

    13: 32 cores, 1+27+1, 10 FPS
    14: 32 cores, 1+28+1, 10 FPS
    15: 32 cores, 1+29+1, 10 FPS
    16: 32 cores, 1+30+1, 10 FPS
    17: 32 cores, 1+31+1, 10 FPS
    18: 32 cores, 1+32+1, 10 FPS

    19: 32 cores, 1+27+1, 11 FPS
    20: 32 cores, 1+28+1, 11 FPS
    21: 32 cores, 1+29+1, 11 FPS
    22: 32 cores, 1+30+1, 11 FPS
    23: 32 cores, 1+31+1, 11 FPS
    24: 32 cores, 1+32+1, 11 FPS

    25: 8 cores, 1+15+1, 4 FPS


2016-5-26
    1: 32+32 cores, 1+50+1, 8 FPS
    2: 32+32 cores, 1+50+1, 9 FPS
    3: 32+32 cores, 1+50+1, 10 FPS
    4: 32+32 cores, 1+50+1, 1 FPS

    5: 32+32 cores, 1+50+1, 12 FPS [FG]
    6: 32+32 cores, 1+50+1, 14 FPS
    7: 32+32 cores, 1+50+1, 16 FPS
    8: 32+32 cores, 1+50+1, 18 FPS
    9: 32+32 cores, 1+50+1, 20 FPS

    10: 32+32 cores, 1+40+1, 12 FPS [FG]
    11: 32+32 cores, 1+45+1, 12 FPS
    12: 32+32 cores, 1+55+1, 12 FPS
    13: 32+32 cores, 1+60+1, 12 FPS

    14: 32+32 cores, 1+40+1, 13 FPS [FG]
    15: 32+32 cores, 1+45+1, 13 FPS
    16: 32+32 cores, 1+55+1, 13 FPS
    17: 32+32 cores, 1+60+1, 13 FPS
